state,year,month,avg_temp,min_temp,max_temp,avg_wind,min_wind,max_wind,avg_humidity,min_humidity,max_humidity
Kentucky,2024,12,4.71008064516129,-9.9,16.8,16.054435483870968,0.4,47.3,72.4489247311828,23,100
Kentucky,2025,1,-2.182258064516129,-18.0,15.7,14.738037634408602,0.0,35.2,71.53494623655914,23,100
Kentucky,2025,2,3.1141369047619043,-14.1,21.2,15.79955357142857,1.3,46.5,73.27380952380952,34,99
Kentucky,2025,3,9.99260752688172,-6.8,23.9,18.25228494623656,0.6,45.6,61.611559139784944,32,98
Kentucky,2025,4,14.149444444444445,-2.1,25.6,15.715972222222222,0.3,51.1,74.23055555555555,40,100
Kentucky,2025,5,16.93494623655914,6.8,27.1,13.731989247311828,0.4,37.5,79.90860215053763,41,100
Kentucky,2025,6,23.689027777777774,9.9,35.0,10.57875,0.4,32.2,76.68333333333334,35,99
Kentucky,2025,7,26.086290322580645,18.9,33.0,9.2377688172043,0.2,23.9,77.31048387096774,35,99
Kentucky,2025,8,23.22284946236559,12.1,33.2,8.45470430107527,0.2,22.6,72.63709677419355,33,100
Kentucky,2025,9,20.606666666666666,9.4,29.0,8.525694444444444,0.3,24.0,73.94166666666666,36,100
Kentucky,2025,10,14.655376344086022,2.2,27.5,12.199193548387099,0.0,38.5,73.71639784946237,37,100
Kentucky,2025,11,8.436944444444444,-4.7,21.0,14.71888888888889,0.6,33.5,73.08194444444445,26,100
Kentucky,2025,12,1.8102891156462586,-14.0,18.5,14.200255102040817,0.6,39.8,75.84693877551021,18,100
Louisiana,2020,12,12.715705128205128,0.9,21.7,11.624038461538461,3.6,23.3,77.13141025641026,36,100
Louisiana,2021,1,10.51774193548387,-2.2,22.4,11.338709677419354,1.5,27.5,75.16666666666667,30,100
Louisiana,2021,2,8.673065476190477,-9.9,25.8,11.813541666666666,0.4,28.2,78.8125,39,100
Louisiana,2021,3,16.59959677419355,2.9,27.8,12.271774193548389,0.4,26.9,75.09677419354838,29,100
Louisiana,2021,4,18.137777777777778,4.6,30.0,10.595277777777778,1.1,33.2,72.86805555555556,30,100
Louisiana,2021,5,22.24771505376344,13.6,30.0,11.249731182795697,0.4,27.0,79.8239247311828,42,100
Louisiana,2021,6,26.27416666666667,19.8,34.5,9.149861111111111,0.0,22.2,80.83888888888889,30,100
Louisiana,2021,7,27.101881720430107,21.9,35.3,7.026344086021506,0.4,16.8,82.90725806451613,35,100
Louisiana,2021,8,27.97244623655914,20.6,37.0,8.051209677419354,0.4,36.1,76.02016129032258,34,100
