state,date,avg_temp,min_temp,max_temp,avg_wind,min_wind,max_wind,avg_humidity,min_humidity,max_humidity
Maine,2025-12-24,-6.8875,-10.6,-4.4,13.258333333333333,7.0,18.5,79.29166666666667,60,88
Maine,2025-12-25,-8.35,-14.1,-2.3,9.229166666666666,0.6,21.0,80.0,63,88
Maryland,2025-12-22,0.7666666666666666,-3.8,6.9,7.854166666666667,2.5,15.5,51.791666666666664,28,70
Maryland,2025-12-23,3.4875000000000003,0.3,6.6,9.379166666666666,2.7,15.1,71.91666666666667,55,91
Maryland,2025-12-24,7.395833333333333,4.3,11.8,13.137500000000001,4.2,22.5,66.39583333333333,32,86
Maryland,2025-12-25,5.658333333333334,1.4,12.9,9.454166666666667,5.1,15.5,68.45833333333333,54,83
Massachusetts,2025-12-22,-2.4583333333333335,-5.2,0.0,14.125,6.0,19.7,50.958333333333336,35,61
Massachusetts,2025-12-23,-0.5166666666666667,-2.8,3.6,8.820833333333333,6.9,13.9,66.33333333333333,52,99
Massachusetts,2025-12-24,0.625,-3.5,2.5,15.237499999999999,5.8,25.3,83.85416666666667,62,100
Massachusetts,2025-12-25,-2.033333333333333,-5.0,4.2,12.941666666666668,1.7,23.3,73.16666666666667,49,87
Michigan,2025-12-22,-2.4541666666666666,-6.6,3.0,14.833333333333334,7.5,19.4,68.75,48,86
Michigan,2025-12-23,3.4583333333333335,0.9,9.1,14.683333333333332,6.9,22.1,78.16666666666667,53,92
Michigan,2025-12-24,-0.3416666666666666,-2.8,2.2,9.104166666666666,5.6,14.5,82.0625,65,91
Michigan,2025-12-25,-0.3166666666666667,-2.2,2.0,12.920833333333334,2.8,22.4,79.25,60,91
Minnesota,2025-12-22,-4.495833333333334,-10.4,0.8,10.545833333333333,5.1,14.5,85.16666666666667,78,89
Minnesota,2025-12-23,-3.8833333333333333,-9.2,-0.4,14.345833333333333,1.9,23.8,88.375,85,93
Minnesota,2025-12-24,-5.710416666666667,-10.1,-0.3,9.414583333333333,2.5,14.5,83.08333333333333,79,88
Minnesota,2025-12-25,-5.0125,-7.4,-0.6,17.545833333333334,7.5,26.3,86.75,81,93
Mississippi,2025-12-22,15.329166666666666,11.9,20.1,11.266666666666666,9.6,14.2,78.58333333333333,68,92
Mississippi,2025-12-23,18.125,13.1,23.8,11.408333333333333,5.2,16.1,81.0,60,98
