state,year,avg_temp,min_temp,max_temp,avg_wind,min_wind,max_wind,avg_humidity,min_humidity,max_humidity
Mississippi,2020,10.10673076923077,-2.8,19.5,10.534615384615385,1.3,18.2,76.07051282051282,31,99
Mississippi,2021,17.934931506849313,-9.8,36.2,9.609417808219177,0.0,38.5,75.84817351598174,26,100
Mississippi,2022,18.0475,-13.0,37.8,9.562191780821918,0.0,40.0,71.7843607305936,21,100
Mississippi,2023,19.081004566210048,-3.5,39.1,9.585194063926942,0.0,34.1,70.82203196347032,21,100
Mississippi,2024,18.923713570127504,-11.1,37.3,9.861475409836066,0.0,36.2,72.07991803278688,11,100
Mississippi,2025,18.563185727568573,-11.5,36.4,9.680427708042771,0.0,45.1,72.68991166899117,11,100
Missouri,2020,1.2669871794871794,-12.1,14.6,11.787179487179486,3.3,23.3,67.46153846153847,11,100
Missouri,2021,13.879771689497717,-23.7,38.5,10.523287671232877,0.0,33.5,70.94235159817352,19,100
Missouri,2022,13.288127853881278,-21.0,38.8,11.087716894977168,0.0,31.4,65.83721461187214,10,100
Missouri,2023,14.607602739726028,-10.7,40.0,10.437260273972601,0.0,33.9,67.03356164383561,10,100
Missouri,2024,14.706489071038252,-22.0,37.5,10.977720856102003,0.0,36.4,68.02071948998179,11,100
Missouri,2025,13.952870757787077,-20.7,35.5,12.157787075778709,0.0,47.0,69.65091817759182,16,100
Montana,2020,-5.381089743589744,-12.4,1.8,16.106089743589745,5.4,27.1,69.40064102564102,38,86
Montana,2021,3.5186757990867576,-32.9,29.5,13.16027397260274,0.4,43.9,61.33573059360731,12,100
Montana,2022,2.6641894977168947,-34.8,29.9,13.485102739726027,0.0,39.1,63.06506849315068,12,100
Montana,2023,3.3978652968036527,-30.8,29.5,12.345593607305936,0.0,39.1,64.99463470319635,11,100
Montana,2024,3.9050774134790527,-37.7,30.8,13.03825136612022,0.0,42.9,61.3976548269581,12,100
Montana,2025,4.3104544397954445,-31.3,28.3,12.790980939098095,0.0,48.7,61.28300790330079,13,100
Nebraska,2020,-3.4118589743589745,-13.6,9.4,11.937179487179488,1.4,32.4,73.76602564102564,31,95
Nebraska,2021,11.816929223744292,-34.1,40.0,14.45818493150685,0.0,54.1,62.928196347031964,14,99
Nebraska,2022,11.305239726027397,-26.0,38.9,16.034771689497717,0.4,54.5,54.03538812785388,10,100
Nebraska,2023,11.518949771689497,-22.0,38.3,14.161917808219178,0.4,45.3,63.23835616438356,11,100
Nebraska,2024,11.941313752276868,-28.5,36.0,14.519729052823315,0.0,44.4,63.09938524590164,11,100
Nebraska,2025,11.618712226871223,-28.0,37.2,14.118874941887494,0.2,52.1,65.46437703393771,8,100
Nevada,2020,-2.3208333333333333,-11.9,6.2,11.005769230769232,2.5,22.8,54.59935897435897,16,94
Nevada,2021,11.513230593607306,-16.3,35.6,11.513881278538813,0.0,47.5,38.51746575342466,4,100
Nevada,2022,10.906118721461187,-18.0,35.0,11.77035388127854,0.0,49.0,37.3513698630137,3,98
Nevada,2023,9.261038812785388,-18.6,36.5,11.349132420091324,0.0,45.7,47.981963470319634,3,100
Nevada,2024,11.41976320582878,-18.3,36.9,10.91936475409836,0.0,54.1,40.14162112932605,3,100
Nevada,2025,11.616974662947467,-11.2,34.6,9.460274291027428,0.0,46.7,39.49221292422129,4,100
New Hampshire,2020,-0.6689102564102564,-7.5,13.6,13.49326923076923,2.2,27.0,67.28205128205128,24,100
New Hampshire,2021,8.636198630136986,-19.2,35.4,10.181746575342466,0.0,36.6,72.89931506849315,16,100
New Hampshire,2022,8.39296803652968,-27.4,34.7,10.374143835616438,0.0,32.4,69.99075342465754,17,100
New Hampshire,2023,8.609257990867581,-29.8,33.4,9.450799086757991,0.0,32.1,76.19280821917808,18,100
New Hampshire,2024,8.798110200364299,-21.0,36.4,9.658913934426229,0.0,40.0,72.79542349726776,16,100
New Hampshire,2025,7.883426313342631,-24.6,33.7,10.329974430497444,0.0,43.3,71.65975127847513,19,100
New Jersey,2020,1.7939102564102565,-5.8,17.1,14.126602564102564,2.5,40.2,64.78525641025641,34,96
New Jersey,2021,13.13595890410959,-11.7,36.3,11.015616438356165,0.0,39.3,68.59897260273972,20,100
New Jersey,2022,12.84994292237443,-20.3,38.6,11.705376712328768,0.0,38.8,65.27945205479452,16,100
New Jersey,2023,13.365262557077624,-13.4,35.2,10.807899543378996,0.0,39.9,68.5222602739726,16,100
New Jersey,2024,13.286008652094718,-15.4,36.2,10.933037340619308,0.2,40.4,67.82399817850637,20,100
New Jersey,2025,12.807432589493258,-15.4,38.8,12.227132728963273,0.2,39.0,65.34948860994886,15,100
New Mexico,2020,0.6477564102564103,-7.2,11.6,13.784615384615385,0.5,30.2,46.5,20,85
New Mexico,2021,12.09134703196347,-23.5,34.5,13.664246575342466,0.0,46.1,43.42180365296804,3,100
New Mexico,2022,11.362545662100455,-20.9,34.3,13.576952054794521,0.0,46.1,45.36529680365297,1,100
New Mexico,2023,11.692431506849315,-17.4,35.5,12.861723744292236,0.0,50.7,44.18892694063927,1,100
New Mexico,2024,12.044831511839709,-14.2,35.3,11.950694444444444,0.0,46.2,44.65892531876138,4,100
New Mexico,2025,12.142648768014878,-16.8,33.5,10.623855183635518,0.0,53.7,43.37180381218038,3,100
New York,2020,-3.1935897435897433,-9.9,11.4,14.925,2.3,34.8,70.01282051282051,30,100
New York,2021,7.447305936073059,-21.3,29.9,10.564497716894977,0.0,32.6,76.91381278538813,18,100
New York,2022,6.915947488584474,-27.5,31.1,11.07634703196347,0.0,40.7,73.38881278538813,10,100
New York,2023,7.8700684931506855,-26.7,28.8,10.584954337899543,0.0,31.8,75.24600456621005,15,100
New York,2024,7.961088342440801,-20.6,30.3,10.676707650273224,0.0,39.6,74.99351092896175,16,100
New York,2025,6.652405857740586,-23.8,29.6,12.195414923291493,0.0,40.4,76.29248024174802,18,100
